Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"Chrono (feat. Yirokos)","Kirara Magic","Chrono (feat. Yirokos) - Single","All","Playlist","QZDA51970799","1452028134"
"Colors (feat. Shion Lee)","Kirara Magic","Colors (feat. Shion Lee) - Single","All","Playlist","QZFYZ2093110","1497589938"
"Dragonflame","Kirara Magic","Dragonflame - Single","All","Playlist","QZTBA2241625","1661571668"
"Chaos Cat","Kirara Magic","Sweet Theory","All","Playlist","QZES91824418","1446497391"
"Night of Bloom (feat. nayuta)","Kirara Magic & Xomu","Night of Bloom - Single (feat. nayuta) - Single","All","Playlist","TCAGI2206172","1633955407"
"Joyride","Kitsune, Ryoo & Closki","Joyride - Single","All","Playlist","GBSMU8845933","1535684782"
"Lonely Days (feat. Robbie Rosen)","Kosling","Lonely Days (feat. Robbie Rosen) - Single","All","Playlist","NLUW22201550","1612986491"
"Runnin (feat. LUX)","Kosling & CHRNS","Runnin (feat. LUX) - Single","All","Playlist","USA2P1897120","1663848708"
"I Don't Need to Dream","Kosling, Samlight & Rory Hope","I Don't Need to Dream - Single","All","Playlist","NLUW22302155","1702830815"
"but you don’t","KOTONOHOUSE","but you don’t - EP","All","Playlist","TCJPH1857024","1445107487"
"Colorful","KOTONOHOUSE","Colorful - Single","All","Playlist","JPB602201889","1619943572"
"My medicine (feat. RANASOL)","KOTONOHOUSE","encore -Emotional Vocal POP 02-","All","Playlist","TCJPM2083333","1537230447"
"It's Over","KOTONOHOUSE","R. U. U. K. Too!?","All","Playlist","JPP561100818","1656466347"
"Gravity","KOTONOHOUSE","Synchronicity","All","Playlist","JPX342000033","1535807917"
"スタートレイル (feat. RANASOL)","KOTONOHOUSE","Synchronicity","All","Playlist","TCJPI1967218","1535807927"
"Heartbeat","KOTONOHOUSE & SHACHI","Heartbeat - Single","All","Playlist","JPX342000043","1663187521"
"海と月","KuMO","Kawaii Box","All","Playlist","QZTB42240183","1657043101"
"Never Be Like You","Diamond White & AJ Rafael","Never Be Like You - Single","All","Playlist","GBDMT1600225","1152632733"
"Born to Be Yours","Kygo & Imagine Dragons","Born to Be Yours - Single","All","Playlist","SEBGA1802355","1397556701"
"First Time","Kygo & Ellie Goulding","First Time - Single","All","Playlist","SEBGA1700113","1229622695"
"Lose Somebody","Kygo & OneRepublic","Golden Hour","All","Playlist","SEBGA2000398","1513224622"
"Higher Love","Kygo & 惠妮休斯頓","Higher Love - Single","All","Playlist","USRC11901901","1469941840"
"It Ain't Me","Kygo & Selena Gomez","It Ain't Me - Single","All","Playlist","SEBGA1700015","1205671288"
"Not Ok","Kygo & Chelsea Cutler","Not Ok - Single","All","Playlist","SEBGA1902178","1464582844"
"The Cure","Lady Gaga","The Cure - Single","All","Playlist","USUM71703782","1445051404"
"Love Hate","laikd & Neuhaus","Love Hate - Single","All","Playlist","USA2P2411748","1733018528"
"I Hate You I Love You, This Town (Acoustic Mashup) [feat. Morgan MC Collum]","Landon Austin","Covers: Six","All","Playlist","TCACT1642804","1176298067"
"Armor","Landon Austin","Landon Austin - EP","All","Playlist","TCACD1533732","960837361"
"up to me","LANY","gg bb xx","All","Playlist","GBUM72103660","1575772344"
"dancing in the kitchen","LANY","gg bb xx (deluxe)","All","Playlist","GBUM72103516","1591302540"
"if this is the last time","LANY","mama's boy","All","Playlist","GBUM72003217","1525736404"
"heart won't let me","LANY","mama's boy","All","Playlist","GBUM72003710","1525736403"
"Bolingo","Lartiste & Lyna Mahyem","Comme avant","All","Playlist","FR9O82000150","1536135223"
"Sunlight","Last Heroes & Fractures","All I See, You See Me","All","Playlist","CA5KR2367225","1697037762"
"Start It Over (feat. KC)","Last Heroes & Man Cub","Start It Over (feat. KC) - Single","All","Playlist","GBEWA2202190","1806726066"
"Knowing How To Break","Last Heroes & RUNN","Threads - EP","All","Playlist","GBEWA2103200","1806733512"
"Believed","Lauv","~How I'm Feeling~","All","Playlist","GBKPL1969284","1480846717"
"Billy","Lauv","~How I'm Feeling~","All","Playlist","GBKPL1969285","1480846724"
"Enemies","Lauv","I met you when I was 18. (the playlist)","All","Playlist","GBKPL1809576","1771702516"
"Chasing Fire","Lauv","I met you when I was 18. (the playlist)","All","Playlist","GBWWP1803692","1771702894"
"There's No Way (feat. Julia Michaels)","Lauv","There's No Way (feat. Julia Michaels) - Single","All","Playlist","GBKPL1821527","1435472013"
"Love Somebody","Lauv","Without You - EP","All","Playlist","GBKPL2008404","1521827113"
"Make You Remember (feat. Your Friends)","Lazy Weekends","Make You Remember (feat. Your Friends) - Single","All","Playlist","DKADG1800285","1395968615"
"19","Lazy Weekends","19 - Single","All","Playlist","DKADG1900294","1467923479"
"Xylitol","League of Legends Music & Synthion","Sessions: Star Guardian Taliyah (Original Soundtrack)","All","Playlist","QZH6S1900618","1831705409"
"Legends Never Die (Alan Walker Remix)","League of Legends Music, Against The Current & Mako","Legends Never Die (Alan Walker Remix) - Single","All","Playlist","QMAF31500063","1833079350"
